dt_date,Parking
2022/7/10,0
2022/7/10,0
2022/7/10,0
2022/7/10,0
2022/7/10,0
2022/7/10,0
2022/7/10,0
2022/7/10,33
2022/7/10,93
2022/7/10,89
2022/7/10,89
2022/7/10,106
2022/7/10,122
2022/7/10,106
2022/7/10,125
2022/7/10,123
2022/7/10,232
2022/7/10,67
2022/7/10,27
2022/7/10,9
2022/7/10,7
2022/7/10,0
2022/7/10,0
2022/7/10,0
2022/7/11,0
2022/7/11,0
2022/7/11,0
2022/7/11,0
2022/7/11,0
2022/7/11,0
2022/7/11,0
2022/7/11,4
2022/7/11,26
2022/7/11,35
2022/7/11,36
2022/7/11,16
2022/7/11,25
2022/7/11,29
2022/7/11,36
2022/7/11,32
2022/7/11,35
2022/7/11,22
2022/7/11,14
2022/7/11,6
2022/7/11,7
2022/7/11,0
2022/7/11,0
2022/7/11,0
2022/7/12,0
2022/7/12,0
2022/7/12,0
2022/7/12,0
2022/7/12,0
2022/7/12,0
2022/7/12,0
2022/7/12,9
2022/7/12,15
2022/7/12,19
2022/7/12,30
2022/7/12,18
2022/7/12,15
2022/7/12,24
2022/7/12,35
2022/7/12,26
2022/7/12,29
2022/7/12,22
2022/7/12,7
2022/7/12,9
2022/7/12,3
2022/7/12,0
2022/7/12,0
2022/7/12,0
2022/7/13,0
2022/7/13,0
2022/7/13,0
2022/7/13,0
2022/7/13,0
2022/7/13,0
2022/7/13,0
2022/7/13,6
2022/7/13,10
2022/7/13,24
2022/7/13,10
2022/7/13,17
2022/7/13,26
2022/7/13,24
2022/7/13,21
2022/7/13,24
2022/7/13,26
2022/7/13,17
2022/7/13,6
2022/7/13,8
2022/7/13,4
2022/7/13,0
2022/7/13,0
2022/7/13,0
2022/7/14,0
2022/7/14,0
2022/7/14,0
2022/7/14,0
2022/7/14,0
2022/7/14,0
2022/7/14,0
2022/7/14,6
2022/7/14,7
2022/7/14,14
2022/7/14,26
2022/7/14,24
2022/7/14,30
2022/7/14,36
2022/7/14,32
2022/7/14,45
2022/7/14,27
2022/7/14,34
2022/7/14,5
2022/7/14,5
2022/7/14,4
2022/7/14,0
2022/7/14,0
2022/7/14,0
2022/7/15,0
2022/7/15,0
2022/7/15,0
2022/7/15,0
2022/7/15,0
2022/7/15,0
2022/7/15,0
2022/7/15,7
2022/7/15,14
2022/7/15,41
2022/7/15,42
2022/7/15,43
2022/7/15,43
2022/7/15,58
2022/7/15,55
2022/7/15,75
2022/7/15,78
2022/7/15,44
2022/7/15,14
2022/7/15,18
2022/7/15,13
2022/7/15,0
2022/7/15,0
2022/7/15,0
2022/7/16,0
2022/7/16,0
2022/7/16,0
2022/7/16,0
2022/7/16,0
2022/7/16,0
2022/7/16,0
2022/7/16,33
2022/7/16,25
2022/7/16,32
2022/7/16,91
2022/7/16,79
2022/7/16,89
2022/7/16,110
2022/7/16,123
2022/7/16,147
2022/7/16,191
2022/7/16,69
2022/7/16,44
2022/7/16,58
2022/7/16,28
2022/7/16,0
2022/7/16,0
2022/7/16,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/17,32
2022/7/17,59
2022/7/17,70
2022/7/17,98
2022/7/17,96
2022/7/17,108
2022/7/17,171
2022/7/17,139
2022/7/17,192
2022/7/17,140
2022/7/17,121
2022/7/17,51
2022/7/17,34
2022/7/17,19
2022/7/17,0
2022/7/17,0
2022/7/17,0
2022/7/18,0
2022/7/18,0
2022/7/18,0
2022/7/18,0
2022/7/18,0
2022/7/18,0
2022/7/18,0
2022/7/18,10
2022/7/18,27
2022/7/18,59
2022/7/18,52
2022/7/18,41
2022/7/18,61
2022/7/18,59
2022/7/18,66
2022/7/18,82
2022/7/18,86
2022/7/18,55
2022/7/18,32
2022/7/18,24
2022/7/18,8
2022/7/18,0
2022/7/18,0
2022/7/18,0
2022/7/19,0
2022/7/19,0
2022/7/19,0
2022/7/19,0
2022/7/19,0
2022/7/19,0
2022/7/19,0
2022/7/19,6
2022/7/19,30
2022/7/19,29
2022/7/19,40
2022/7/19,22
2022/7/19,22
2022/7/19,35
2022/7/19,40
2022/7/19,61
2022/7/19,52
2022/7/19,22
2022/7/19,18
2022/7/19,23
2022/7/19,10
2022/7/19,0
2022/7/19,0
2022/7/19,0
2022/7/20,0
2022/7/20,0
2022/7/20,0
2022/7/20,0
2022/7/20,0
2022/7/20,0
2022/7/20,0
2022/7/20,11
2022/7/20,16
2022/7/20,37
2022/7/20,36
2022/7/20,20
2022/7/20,37
2022/7/20,34
2022/7/20,40
2022/7/20,77
2022/7/20,49
2022/7/20,36
2022/7/20,26
2022/7/20,22
2022/7/20,15
2022/7/20,0
2022/7/20,0
2022/7/20,0
2022/7/21,0
2022/7/21,0
2022/7/21,0
2022/7/21,0
2022/7/21,0
2022/7/21,0
2022/7/21,0
2022/7/21,9
2022/7/21,17
2022/7/21,27
2022/7/21,31
2022/7/21,28
2022/7/21,29
2022/7/21,30
2022/7/21,36
2022/7/21,54
2022/7/21,73
2022/7/21,31
2022/7/21,40
2022/7/21,12
2022/7/21,12
2022/7/21,0
2022/7/21,0
2022/7/21,0
2022/7/22,0
2022/7/22,0
2022/7/22,0
2022/7/22,0
2022/7/22,0
2022/7/22,0
2022/7/22,0
2022/7/22,6
2022/7/22,28
2022/7/22,33
2022/7/22,50
2022/7/22,26
2022/7/22,43
2022/7/22,32
2022/7/22,68
2022/7/22,62
2022/7/22,63
2022/7/22,49
2022/7/22,23
2022/7/22,21
2022/7/22,21
2022/7/22,0
2022/7/22,0
2022/7/22,0
2022/7/23,0
2022/7/23,0
2022/7/23,0
2022/7/23,0
2022/7/23,0
2022/7/23,0
2022/7/23,0
2022/7/23,23
2022/7/23,50
2022/7/23,63
2022/7/23,55
2022/7/23,53
2022/7/23,64
2022/7/23,81
2022/7/23,110
2022/7/23,136
2022/7/23,149
2022/7/23,90
2022/7/23,44
2022/7/23,30
2022/7/23,29
2022/7/23,0
2022/7/23,0
2022/7/23,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/24,47
2022/7/24,81
2022/7/24,98
2022/7/24,101
2022/7/24,80
2022/7/24,73
2022/7/24,106
2022/7/24,92
2022/7/24,128
2022/7/24,101
2022/7/24,56
2022/7/24,73
2022/7/24,33
2022/7/24,18
2022/7/24,0
2022/7/24,0
2022/7/24,0
2022/7/25,0
2022/7/25,0
2022/7/25,0
2022/7/25,0
2022/7/25,0
2022/7/25,0
2022/7/25,0
2022/7/25,21
2022/7/25,35
2022/7/25,62
2022/7/25,62
2022/7/25,43
2022/7/25,51
2022/7/25,24
2022/7/25,45
2022/7/25,62
2022/7/25,68
2022/7/25,58
2022/7/25,25
2022/7/25,19
2022/7/25,10
2022/7/25,0
2022/7/25,0
2022/7/25,0
2022/7/26,0
2022/7/26,0
2022/7/26,0
2022/7/26,0
2022/7/26,0
2022/7/26,0
2022/7/26,0
2022/7/26,7
2022/7/26,18
2022/7/26,37
2022/7/26,32
2022/7/26,37
2022/7/26,27
2022/7/26,29
2022/7/26,29
2022/7/26,61
2022/7/26,46
2022/7/26,52
2022/7/26,22
2022/7/26,14
2022/7/26,15
2022/7/26,0
2022/7/26,0
2022/7/26,0
2022/7/27,0
2022/7/27,0
2022/7/27,0
2022/7/27,0
2022/7/27,0
2022/7/27,0
2022/7/27,0
2022/7/27,16
2022/7/27,26
2022/7/27,33
2022/7/27,27
2022/7/27,21
2022/7/27,11
2022/7/27,21
2022/7/27,47
2022/7/27,43
2022/7/27,52
2022/7/27,44
2022/7/27,24
2022/7/27,18
2022/7/27,9
2022/7/27,0
2022/7/27,0
2022/7/27,0
2022/7/28,0
2022/7/28,0
2022/7/28,0
2022/7/28,0
2022/7/28,0
2022/7/28,0
2022/7/28,0
2022/7/28,13
2022/7/28,21
2022/7/28,32
2022/7/28,44
2022/7/28,21
2022/7/28,27
2022/7/28,27
2022/7/28,45
2022/7/28,71
2022/7/28,56
2022/7/28,65
2022/7/28,27
2022/7/28,18
2022/7/28,10
2022/7/28,0
2022/7/28,0
2022/7/28,0
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/29,5
2022/7/29,16
2022/7/29,39
2022/7/29,53
2022/7/29,24
2022/7/29,22
2022/7/29,36
2022/7/29,43
2022/7/29,60
2022/7/29,71
2022/7/29,64
2022/7/29,16
2022/7/29,25
2022/7/29,12
2022/7/29,0
2022/7/29,0
2022/7/29,0
2022/7/30,0
2022/7/30,0
2022/7/30,0
2022/7/30,0
2022/7/30,0
2022/7/30,0
2022/7/30,0
2022/7/30,29
2022/7/30,52
2022/7/30,68
2022/7/30,72
2022/7/30,46
2022/7/30,56
2022/7/30,87
2022/7/30,101
2022/7/30,121
2022/7/30,101
2022/7/30,77
2022/7/30,49
2022/7/30,30
2022/7/30,22
2022/7/30,0
2022/7/30,0
2022/7/30,0
2022/7/31,0
2022/7/31,0
2022/7/31,0
2022/7/31,0
2022/7/31,0
2022/7/31,0
2022/7/31,0
2022/7/31,28
2022/7/31,56
2022/7/31,79
2022/7/31,99
2022/7/31,79
2022/7/31,61
2022/7/31,74
2022/7/31,124
2022/7/31,121
2022/7/31,95
2022/7/31,51
2022/7/31,34
2022/7/31,26
2022/7/31,6
2022/7/31,0
2022/7/31,0
2022/7/31,0
2022/8/1,0
2022/8/1,0
2022/8/1,0
2022/8/1,0
2022/8/1,0
2022/8/1,0
2022/8/1,0
2022/8/1,13
2022/8/1,22
2022/8/1,58
2022/8/1,37
2022/8/1,41
2022/8/1,50
2022/8/1,42
2022/8/1,45
2022/8/1,61
